time,temp,setpoint,control
234,29.0575,25000,1
235,29.0669,25000,1
236,29.0763,25000,1
237,29.0855,25000,1
238,29.0947,25000,1
239,29.1037,25000,1
240,29.1127,25000,1
241,29.1215,25000,1
242,29.1303,25000,1
243,29.139,25000,1
244,29.1476,25000,1
245,29.1562,25000,1
246,29.1646,25000,1
247,29.173,25000,1
248,29.1812,25000,1
249,29.1894,25000,1
250,29.1975,25000,1
251,29.2055,25000,1
252,29.2135,25000,1
253,29.2214,25000,1
254,29.2291,25000,1
255,29.2369,25000,1
256,29.2445,25000,1
257,29.252,25000,1
258,29.2595,25000,1
259,29.2669,25000,1
260,29.2743,25000,1
261,29.2815,25000,1
262,29.2887,25000,1
263,29.2958,25000,1
264,29.3028,25000,1
265,29.3098,25000,1
266,29.3167,25000,1
267,29.3236,25000,1
268,29.3303,25000,1
269,29.337,25000,1
270,29.3436,25000,1
271,29.3502,25000,1
272,29.3567,25000,1
273,29.3631,25000,1
274,29.3695,25000,1
275,29.3758,25000,1
276,29.3821,25000,1
277,29.3882,25000,1
278,29.3944,25000,1
279,29.4004,25000,1
280,29.4064,25000,1
281,29.4123,25000,1
282,29.4182,25000,1
283,29.424,25000,1
284,29.4298,25000,1
285,29.4355,25000,1
286,29.4411,25000,1
287,29.4467,25000,1
288,29.4523,25000,1
289,29.4577,25000,1
290,29.4632,25000,1
291,29.4685,25000,1
292,29.4738,25000,1
293,29.4791,25000,1
294,29.4843,25000,1
295,29.4895,25000,1
296,29.4946,25000,1
297,29.4996,25000,1
298,29.5046,25000,1
299,29.5096,25000,1
300,29.5145,25000,1
301,29.5194,25000,1
302,29.5242,25000,1
303,29.5289,25000,1
304,29.5336,25000,1
305,29.5383,25000,1
306,29.5429,25000,1
307,29.5475,25000,1
308,29.552,25000,1
309,29.5565,25000,1
310,29.5609,25000,1
311,29.5653,25000,1
312,29.5697,25000,1
313,29.574,25000,1
314,29.5782,25000,1
315,29.5824,25000,1
316,29.5866,25000,1
317,29.5907,25000,1
318,29.5948,25000,1
319,29.5989,25000,1
320,29.6029,25000,1
321,29.6069,25000,1
322,29.6108,25000,1
323,29.6147,25000,1
324,29.6185,25000,1
325,29.6224,25000,1
326,29.6261,25000,1
327,29.6299,25000,1
328,29.6336,25000,1
329,29.6372,25000,1
330,29.6409,25000,1
331,29.6445,25000,1
332,29.648,25000,1
333,29.6515,25000,1
334,29.655,25000,1
335,29.6585,25000,1
336,29.6619,25000,1
337,29.6653,25000,1
338,29.6686,25000,1
339,29.6719,25000,1
340,29.6752,25000,1
341,29.6785,25000,1
342,29.6817,25000,1
343,29.6849,25000,1
344,29.688,25000,1
345,29.6911,25000,1
346,29.6942,25000,1
347,29.6973,25000,1
348,29.7003,25000,1
349,29.7033,25000,1
350,29.7063,25000,1
351,29.7092,25000,1
352,29.7121,25000,1
353,29.715,25000,1
354,29.7178,25000,1
355,29.7207,25000,1
356,29.7235,25000,1
357,29.7262,25000,1
358,29.729,25000,1
359,29.7317,25000,1
360,29.7344,25000,1
361,29.737,25000,1
362,29.7396,25000,1
363,29.7422,25000,1
364,29.7448,25000,1
365,29.7474,25000,1
366,29.7499,25000,1
367,29.7524,25000,1
368,29.7549,25000,1
369,29.7573,25000,1
370,29.7598,25000,1
371,29.7622,25000,1
372,29.7645,25000,1
373,29.7669,25000,1
374,29.7692,25000,1
375,29.7715,25000,1
376,29.7738,25000,1
377,29.7761,25000,1
378,29.7783,25000,1
379,29.7805,25000,1
380,29.7827,25000,1
381,29.7849,25000,1
382,29.787,25000,1
383,29.7892,25000,1
384,29.7913,25000,1
385,29.7934,25000,1
386,29.7954,25000,1
387,29.7975,25000,1
388,29.7995,25000,1
389,29.8015,25000,1
390,29.8035,25000,1
391,29.8055,25000,1
392,29.8074,25000,1
393,29.8093,25000,1
394,29.8112,25000,1
395,29.8131,25000,1
396,29.815,25000,1
397,29.8168,25000,1
398,29.8187,25000,1
399,29.8205,25000,1
400,29.8223,25000,1
401,29.8241,25000,1
402,29.8258,25000,1
403,29.8276,25000,1
404,29.8293,25000,1
405,29.831,25000,1
406,29.8327,25000,1
407,29.8344,25000,1
408,29.836,25000,1
409,29.8377,25000,1
410,29.8393,25000,1
411,29.8409,25000,1
412,29.8425,25000,1
413,29.8441,25000,1
414,29.8456,25000,1
415,29.8472,25000,1
416,29.8487,25000,1
417,29.8502,25000,1
418,29.8517,25000,1
419,29.8532,25000,1
420,29.8546,25000,1
421,29.8561,25000,1
422,29.8575,25000,1
423,29.859,25000,1
424,29.8604,25000,1
425,29.8618,25000,1
426,29.8632,25000,1
427,29.8645,25000,1
428,29.8659,25000,1
429,29.8672,25000,1
430,29.8685,25000,1
431,29.8699,25000,1
432,29.8712,25000,1
433,29.8725,25000,1
434,29.8737,25000,1
435,29.875,25000,1
436,29.8762,25000,1
437,29.8775,25000,1
438,29.8787,25000,1
439,29.8799,25000,1
440,29.8811,25000,1
441,29.8823,25000,1
442,29.8835,25000,1
443,29.8846,25000,1
444,29.8858,25000,1
445,29.8869,25000,1
446,29.8881,25000,1
447,29.8892,25000,1
448,29.8903,25000,1
449,29.8914,25000,1
450,29.8925,25000,1
451,29.8936,25000,1
452,29.8946,25000,1
453,29.8957,25000,1
454,29.8967,25000,1
455,29.8978,25000,1
456,29.8988,25000,1
457,29.8998,25000,1
458,29.9008,25000,1
459,29.9018,25000,1
460,29.9028,25000,1
461,29.9037,25000,1
462,29.9047,25000,1
463,29.9057,25000,1
464,29.9066,25000,1
465,29.9075,25000,1
466,29.9085,25000,1
467,29.9094,25000,1
468,29.9103,25000,1
469,29.9112,25000,1
470,29.9121,25000,1
471,29.9129,25000,1
472,29.9138,25000,1
473,29.9147,25000,1
474,29.9155,25000,1
475,29.9164,25000,1
476,29.9172,25000,1
477,29.918,25000,1
478,29.9189,25000,1
479,29.9197,25000,1
480,29.9205,25000,1
481,29.9213,25000,1
482,29.9221,25000,1
483,29.9228,25000,1
484,29.9236,25000,1
485,29.9244,25000,1
486,29.9251,25000,1
487,29.9259,25000,1
488,29.9266,25000,1
489,29.9273,25000,1
490,29.9281,25000,1
491,29.9288,25000,1
492,29.9295,25000,1
493,29.9302,25000,1
494,29.9309,25000,1
495,29.9316,25000,1
496,29.9323,25000,1
497,29.933,25000,1
498,29.9336,25000,1
499,29.9343,25000,1
500,29.935,25000,1
501,29.9356,25000,1
502,29.9362,25000,1
503,29.9369,25000,1
504,29.9375,25000,1
505,29.9381,25000,1
506,29.9388,25000,1
507,29.9394,25000,1
508,29.94,25000,1
509,29.9406,25000,1
510,29.9412,25000,1
511,29.9418,25000,1
512,29.9423,25000,1
513,29.9429,25000,1
514,29.9435,25000,1
515,29.9441,25000,1
516,29.9446,25000,1
517,29.9452,25000,1
518,29.9457,25000,1
519,29.9463,25000,1
520,29.9468,25000,1
521,29.9473,25000,1
522,29.9479,25000,1
523,29.9484,25000,1
524,29.9489,25000,1
525,29.9494,25000,1
526,29.9499,25000,1
527,29.9504,25000,1
528,29.9509,25000,1
529,29.9514,25000,1
530,29.9519,25000,1
531,29.9524,25000,1
532,29.9528,25000,1
533,29.9533,25000,1
534,29.9538,25000,1
535,29.9542,25000,1
536,29.9547,25000,1
537,29.9552,25000,1
538,29.9556,25000,1
539,29.956,25000,1
540,29.9565,25000,1
541,29.9569,25000,1
542,29.9574,25000,1
543,29.9578,25000,1
544,29.9582,25000,1
545,29.9586,25000,1
546,29.959,25000,1
547,29.9594,25000,1
548,29.9598,25000,1
549,29.9602,25000,1
550,29.9606,25000,1
551,29.961,25000,1
552,29.9614,25000,1
553,29.9618,25000,1
554,29.9622,25000,1
555,29.9626,25000,1
556,29.9629,25000,1
557,29.9633,25000,1
558,29.9637,25000,1
559,29.964,25000,1
560,29.9644,25000,1
561,29.9648,25000,1
562,29.9651,25000,1
563,29.9655,25000,1
564,29.9658,25000,1
565,29.9662,25000,1
566,29.9665,25000,1
567,29.9668,25000,1
568,29.9672,25000,1
569,29.9675,25000,1
570,29.9678,25000,1
571,29.9681,25000,1
572,29.9685,25000,1
573,29.9688,25000,1
574,29.9691,25000,1
575,29.9694,25000,1
576,29.9697,25000,1
577,29.97,25000,1
578,29.9703,25000,1
579,29.9706,25000,1
580,29.9709,25000,1
581,29.9712,25000,1
582,29.9715,25000,1
583,29.9718,25000,1
584,29.972,25000,1
585,29.9723,25000,1
586,29.9726,25000,1
587,29.9729,25000,1
588,29.9731,25000,1
589,29.9734,25000,1
590,29.9737,25000,1
591,29.9739,25000,1
592,29.9742,25000,1
593,29.9745,25000,1
594,29.9747,25000,1
595,29.975,25000,1
596,29.9752,25000,1
597,29.9755,25000,1
598,29.9757,25000,1
599,29.9759,25000,1
600,29.9762,25000,1
601,29.9764,25000,1
602,29.9767,25000,1
603,29.9769,25000,1
604,29.9771,25000,1
605,29.9774,25000,1
606,29.9776,25000,1
607,29.9778,25000,1
608,29.978,25000,1
609,29.9782,25000,1
610,29.9785,25000,1
611,29.9787,25000,1
612,29.9789,25000,1
613,29.9791,25000,1
614,29.9793,25000,1
